"","tag","p_tag","sex","partner_type","age","p_age","pers","p_pers","pair_id","cycle","cycle_p_tag","cycle_pair","new_part","NumDays","breed_stage","no_hours","part_prev_bout"
"45",21271,22950,"Male","Partner",10,24,2.288892,0.4825872,"22950_21271","C","C_22950","C_22950_21271",1,9,"incu",219.8333333,27.83328
"46",23268,9117,"Female","Partner",23,27,3.038892,1.049124,"9117_23268","C","C_9117","C_9117_23268",0,35,"incu",362.5,168.33336
"47",23268,9117,"Female","Partner",23,27,3.038892,1.049124,"9117_23268","C","C_9117","C_9117_23268",0,17,"incu",259.1666667,51.33336
"48",23268,9117,"Female","Partner",23,27,3.038892,1.049124,"9117_23268","C","C_9117","C_9117_23268",0,60,"incu",169.5,244.16664
"49",23268,9117,"Female","Partner",23,27,3.038892,1.049124,"9117_23268","C","C_9117","C_9117_23268",0,74,"incu",283.5,169.3332
"50",25453,11725,"Female","Partner",21,23,3.157011,0.3946664,"11725_25453","C","C_11725","C_11725_25453",0,16,"incu",94.166664,10.99992
"51",25453,11725,"Female","Partner",21,23,3.157011,0.3946664,"11725_25453","C","C_11725","C_11725_25453",0,4,"incu",28.833336,10.16664
"52",25453,11725,"Female","Partner",21,23,3.157011,0.3946664,"11725_25453","C","C_11725","C_11725_25453",0,7,"incu",191.833344,34.33344
"53",25453,11725,"Female","Partner",21,23,3.157011,0.3946664,"11725_25453","C","C_11725","C_11725_25453",0,23,"incu",15.5,83.83344
"54",25453,11725,"Female","Partner",21,23,3.157011,0.3946664,"11725_25453","C","C_11725","C_11725_25453",0,27,"incu",196.6666667,63
"55",25453,11725,"Female","Partner",21,23,3.157011,0.3946664,"11725_25453","C","C_11725","C_11725_25453",0,15,"incu",16.16666667,6.1668
"56",27665,19519,"Female","Partner",26,14,2.948773,0.4502542,"19519_27665","A","A_19519","A_19519_27665",0,96,"brood",17,33.33312
